qi_correct,qi_incorrect
-0.10958110933998416,0.015633560063652675
-0.2277425205619091,0.21473755528243052
0.14660444431189787,-0.14717037025991478
0.025935783117667945,0.10367264716602875
0.18461103980335,0.4326004019437018
-0.04327695995806609,-0.21093831695567788
0.018178958160429862,0.4409049474484658
-0.09027341146050892,0.238353455739398
0.028716444550481758,-0.02033937133247876
0.16099259705050448,0.321098989657996
-0.08800659549145204,-0.12683992126988602
0.11845236962093882,0.06874988751677162
-0.0392396265452047,0.25406340366810154
-0.04652703644666135,0.045363980142746896
-0.10150644251426152,
0.11929015094097042,-0.055888008460330006
0.026945927106677214,0.2506417777247592
-0.10887126028095456,0.08490804305782462
0.14710074283715005,0.11132613295898995
-0.02554377592712294,0.2923449106830469
0.020180727484955824,
-0.0929591180895815,0.14558970880156577
-0.1307191855899955,0.010111377959212488
-0.06234422383429317,0.3111721479060113
0.036527036446661415,0.400193519663091
0.0476651126966727,0.13537376264083367
-0.22744222563192945,-0.21546388412970502
0.038716444550481816,-0.1342437815368797
0.032070812373784265,-0.4495333323392334
0.04250196093241678,-0.03054639515076084
-0.08263518223330696,0.025995061875669197
0.06512488526710705,0.061162963073418564
-0.12786111629194533,-0.27736457572051376
0.11056436985952274,0.0017892202824227371
0.2595130380057138,0.16199282940148554
-0.024824590337127344,0.08462803792172109
0.04716881417142047,-0.36762284398414785
0.022462819564329283,-0.20242559971869808
0.07188787120774989,0.4268813117642153
-0.006185553651881961,0.2609074031904386
-0.08226681596905681,0.09136895656119612
-0.009358222275240875,0.4453363193811352
-0.1278611162919452,0.2819077862357726
-0.0276651126966727,0.41841204441673263
0.16864837321621132,-0.0718797193971773
-0.08064177772475911,0.400387039326182
-0.04197585757004303,0.5141759359949674
-0.05016838567074552,
0.03539829672761597,0.1119929518394795
0.04456051540758434,
-0.14615867018241113,
0.04184792530904095,
-0.1740032469333908,
-0.023814446348117944,
-0.043131480758559174,
0.06831217051701757,
-0.07099094912594937,
-0.23382378287908395,
-0.003250076488595266,
-0.032412295168563664,
0.1650545516884779,
0.23886600674177794,
0.02389185421335445,
-0.08083778132003162,
0.0034941331492734256,
0.013508002831777985,
